DATE,DFF
1972-01-01,4.4371311475409800
1973-01-01,8.7422739726027400
1974-01-01,10.5113972602740000
1975-01-01,5.8211780821917800
1976-01-01,5.0450819672131100
1977-01-01,5.5423013698630100
1978-01-01,7.9368767123287700
1979-01-01,11.2027945205479000
1980-01-01,13.3497267759563000
1981-01-01,16.3863561643836000
1982-01-01,12.2376712328767000
1983-01-01,9.0902739726027400
1984-01-01,10.2250819672131000
1985-01-01,8.0996712328767100
1986-01-01,6.7994794520547900
1987-01-01,6.6603561643835600
1988-01-01,7.5718032786885200
1989-01-01,9.2149041095890400
1990-01-01,8.0965205479452100
1991-01-01,5.6850136986301400
1992-01-01,3.5210655737704900
1993-01-01,3.0213424657534200
1994-01-01,4.2063287671232900
1995-01-01,5.8343013698630100
1996-01-01,5.3004644808743200
1997-01-01,5.4615068493150700
1998-01-01,5.3509315068493200
1999-01-01,4.9723561643835600
2000-01-01,6.2374316939890700
2001-01-01,3.8783561643835600
2002-01-01,1.6667945205479500
2003-01-01,1.1264931506849300
2004-01-01,1.3503278688524600
2005-01-01,3.2170684931506800
2006-01-01,4.9654246575342500
2007-01-01,5.0173150684931500
2008-01-01,1.9241803278688500
2009-01-01,0.15860273972602700000
2010-01-01,0.17624657534246600000
2011-01-01,0.10150684931506800000
2012-01-01,0.14057377049180300000
2013-01-01,0.10734246575342500000
2014-01-01,0.08849315068493150000
2015-01-01,0.13372602739726000000
2016-01-01,0.39319672131147500000
2017-01-01,1.0029589041095900
2018-01-01,1.8349315068493200
2019-01-01,2.1572602739726000
2020-01-01,0.37224043715847000000
2021-01-01,0.07868493150684930000
