YEAR,TB3MS,TB3MS2
2012,0.08583333333333330000,0.00085833333333333300
2013,0.05833333333333330000,0.00058333333333333300
2014,0.03250000000000000000,0.00032500000000000000
2015,0.05250000000000000000,0.00052500000000000000
2016,0.31750000000000000000,0.00317500000000000000
2017,0.93083333333333300000,0.00930833333333333000
2018,1.9391666666666700,0.0193916666666667
2019,2.0608333333333300,0.0206083333333333
2020,0.36500000000000000000,0.00365000000000000000
2021,0.04416666666666670000,0.00044166666666666700
